REGION_NAME,BRAND,SKU,MONTH,Sales Value,VOLUME,Price,Total_Sales_Vol,mean,std,Market_Share,Total_brand,z_score,Cleaned_Brand,PED,Cluster
BEAUTY STORES,SAWA  SOAP,50ML,1,0,,,53278.599,605.438625,1092.644366,,48,,SAWA PWANI OIL PRODUCTS,,Unclassified
BEAUTY STORES,SAWA  SOAP,50ML,2,27250,38.929,699.9922937,56132.624,578.6868454,1100.502564,0.000693518,48,-0.490464869,SAWA PWANI OIL PRODUCTS,,White A (Low Potential)
BEAUTY STORES,SAWA  SOAP,50ML,3,32297.062,44.753,721.6736755,54432.473,523.3891635,1021.855548,0.000822175,48,-0.468399046,SAWA PWANI OIL PRODUCTS,,White A (Low Potential)
BEAUTY STORES,SAWA  SOAP,50ML,4,40510.866,56.861,712.454336,57194.68,544.7112381,1040.781354,0.000994166,48,-0.468734606,SAWA PWANI OIL PRODUCTS,,White A (Low Potential)
BEAUTY STORES,SAWA  SOAP,50ML,5,12249.172,12.249,1000.014042,56624.799,510.1333243,961.4192956,0.000216319,48,-0.517863878,SAWA PWANI OIL PRODUCTS,,White A (Low Potential)
BEAUTY STORES,SAWA  SOAP,50ML,6,6987.004,8.194,852.6975836,54832.043,493.9823694,908.8771835,0.000149438,48,-0.534492865,SAWA PWANI OIL PRODUCTS,,White A (Low Potential)
BEAUTY STORES,SAWA  SOAP,50ML,7,11701.266,11.701,1000.022733,57704.22,515.21625,968.7830439,0.000202775,48,-0.519739949,SAWA PWANI OIL PRODUCTS,,White A (Low Potential)
BEAUTY STORES,SAWA  SOAP,50ML,8,7721.393,7.721,1000.0509,57222.632,515.5192072,884.2714909,0.000134929,48,-0.574255998,SAWA PWANI OIL PRODUCTS,,White A (Low Potential)
BEAUTY STORES,SAWA  SOAP,50ML,9,4252.932,4.253,999.9840113,56908.679,526.932213,880.2291887,7.47E-05,48,-0.593799001,SAWA PWANI OIL PRODUCTS,,White A (Low Potential)
BEAUTY STORES,SAWA  SOAP,50ML,10,8567.155,9.459,905.7146633,59588.129,567.5059905,1014.503829,0.00015874,48,-0.550068886,SAWA PWANI OIL PRODUCTS,,White A (Low Potential)
BEAUTY STORES,SAWA  SOAP,50ML,11,30749.303,35.289,871.3565984,61296.086,547.2864821,995.1520952,0.000575714,48,-0.514491689,SAWA PWANI OIL PRODUCTS,,White A (Low Potential)
BEAUTY STORES,SAWA  SOAP,50ML,12,15310.076,19.138,799.9830703,57523.198,532.6222037,977.5750236,0.000332701,48,-0.525263219,SAWA PWANI OIL PRODUCTS,,White A (Low Potential)
BEAUTY STORES,SAWA  SOAP,90ML,1,0,,,53278.599,605.438625,1092.644366,,48,,SAWA PWANI OIL PRODUCTS,,Unclassified
BEAUTY STORES,SAWA  SOAP,90ML,2,0,,,56132.624,578.6868454,1100.502564,,48,,SAWA PWANI OIL PRODUCTS,,Unclassified
BEAUTY STORES,SAWA  SOAP,90ML,3,0,,,54432.473,523.3891635,1021.855548,,48,,SAWA PWANI OIL PRODUCTS,,Unclassified
BEAUTY STORES,SAWA  SOAP,90ML,4,0,,,57194.68,544.7112381,1040.781354,,48,,SAWA PWANI OIL PRODUCTS,,Unclassified
BEAUTY STORES,SAWA  SOAP,90ML,5,0,,,56624.799,510.1333243,961.4192956,,48,,SAWA PWANI OIL PRODUCTS,,Unclassified
BEAUTY STORES,SAWA  SOAP,90ML,6,0,,,54832.043,493.9823694,908.8771835,,48,,SAWA PWANI OIL PRODUCTS,,Unclassified
BEAUTY STORES,SAWA  SOAP,90ML,7,15526.104,17.467,888.8821206,57704.22,515.21625,968.7830439,0.000302699,48,-0.513788152,SAWA PWANI OIL PRODUCTS,,White A (Low Potential)
BEAUTY STORES,SAWA  SOAP,90ML,8,52353.169,65.453,799.8589675,57222.632,515.5192072,884.2714909,0.001143831,48,-0.508968356,SAWA PWANI OIL PRODUCTS,,White A (Low Potential)
BEAUTY STORES,SAWA  SOAP,90ML,9,45363.99,56.715,799.8587675,56908.679,526.932213,880.2291887,0.000996597,48,-0.534198614,SAWA PWANI OIL PRODUCTS,,White A (Low Potential)
BEAUTY STORES,SAWA  SOAP,90ML,10,35144.366,43.938,799.8626701,59588.129,567.5059905,1014.503829,0.000737362,48,-0.516082814,SAWA PWANI OIL PRODUCTS,,White A (Low Potential)
BEAUTY STORES,SAWA  SOAP,90ML,11,20589.156,25.741,799.858436,61296.086,547.2864821,995.1520952,0.000419945,48,-0.524086202,SAWA PWANI OIL PRODUCTS,,White A (Low Potential)
BEAUTY STORES,SAWA  SOAP,90ML,12,72794.986,91.009,799.8657935,57523.198,532.6222037,977.5750236,0.001582127,48,-0.451743542,SAWA PWANI OIL PRODUCTS,,White A (Low Potential)
CENTRAL,DIRIA,1000G,1,79542.814,227.928,348.9821961,1006773.271,8460.279588,15812.4923,0.000226395,37,-0.520623279,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,1000G,2,43376.286,136.824,317.0224961,1098685.536,9155.7128,17825.72377,0.000124534,37,-0.505947972,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,1000G,3,24686.186,81.018,304.7000173,947185.319,8308.643149,16444.37594,8.55E-05,37,-0.500330641,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,1000G,4,14144.836,49.547,285.4831978,884522.783,7827.635248,14883.07345,5.60E-05,37,-0.522613039,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,1000G,5,10608.627,37.161,285.477436,916193.537,8180.299438,14306.38029,4.06E-05,37,-0.56919628,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,1000G,6,22681.628,79.451,285.4794527,967178.115,8873.193716,16279.51417,8.21E-05,37,-0.540172306,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,1000G,7,1768.104,6.193,285.5004037,1009149.125,9258.248853,19074.67159,6.14E-06,37,-0.485044044,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,1000G,8,35346.887,121.58,290.7294539,944767.018,8588.791073,18291.17354,0.000128688,37,-0.462912402,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,1000G,9,42353.297,140.991,300.3971672,924033.276,8400.302509,18698.59839,0.000152582,37,-0.441707519,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,1000G,10,36629.86,128.309,285.4816108,932467.237,8476.974882,17132.52569,0.000137602,37,-0.48729919,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,1000G,11,17437.463,67.26,259.2545792,1009946.938,9265.568239,18158.0099,6.66E-05,37,-0.506570284,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,1000G,12,24528.952,96.447,254.3257126,1122978.693,9850.690289,19456.95794,8.59E-05,37,-0.50132417,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,2000G,1,12179.715,41.988,290.0760932,1006773.271,8460.279588,15812.4923,4.17E-05,37,-0.532382336,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,2000G,2,50093.662,172.69,290.0785338,1098685.536,9155.7128,17825.72377,0.000157179,37,-0.503935936,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,2000G,3,16176.821,55.767,290.0787383,947185.319,8308.643149,16444.37594,5.89E-05,37,-0.501866181,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,2000G,4,31766.463,109.51,290.0781938,884522.783,7827.635248,14883.07345,0.000123807,37,-0.5185841,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,2000G,5,49888.545,171.982,290.0800374,916193.537,8180.299438,14306.38029,0.000187714,37,-0.559772443,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,2000G,6,4234.436,14.598,290.0695986,967178.115,8873.193716,16279.51417,1.51E-05,37,-0.544156025,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,2000G,7,0,,,1009149.125,9258.248853,19074.67159,,37,,DIRIA,-0.6800514,Unclassified
CENTRAL,DIRIA,2000G,8,23426.958,78.09,299.9994622,944767.018,8588.791073,18291.17354,8.27E-05,37,-0.465290051,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,2000G,9,12694.694,49.065,258.7321716,924033.276,8400.302509,18698.59839,5.31E-05,37,-0.446623717,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,2000G,10,29781.247,121.556,245.0002221,932467.237,8476.974882,17132.52569,0.00013036,37,-0.487693352,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,2000G,11,11159.555,43.763,254.9997715,1009946.938,9265.568239,18158.0099,4.33E-05,37,-0.507864314,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,2000G,12,10468.19,41.052,254.9982948,1122978.693,9850.690289,19456.95794,3.66E-05,37,-0.504171223,DIRIA,-0.6800514,White A (Low Potential)
CENTRAL,DIRIA,500G,1,6206843.238,16682.237,372.0630056,1006773.271,8460.279588,15812.4923,0.016570004,37,0.519965939,DIRIA,-0.6800514,Yellow B (Struggling)
CENTRAL,DIRIA,500G,2,6619170.566,17681.758,374.3502522,1098685.536,9155.7128,17825.72377,0.016093557,37,0.478300085,DIRIA,-0.6800514,Yellow B (Struggling)
