,Territory,County,subcategory,BRAND,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,White Space Score,WEIGHT,AWS,overall_coverage_pct,Opportunity Score
0,CENTRAL,EMBU,bar soap,NDUME,56218.61,0.13033433,0.076233969,10.97780161,0.13033433,1.430784419,22.68,1.1062825127708
1,CENTRAL,EMBU,bar soap,POPCO,4010.0,0.034227898,0.022717448,46.92278541,1.0,46.92278541,22.68,36.280697679012
2,CENTRAL,EMBU,bar soap,USHINDI,7295.5,0.203110623,0.100144162,58.4682421,0.58738635,34.34344733,22.68,26.554353475556
3,CENTRAL,EMBU,bar soap,WHITEWASH,15085.975,0.066839905,0.128405461,42.318709,0.545679175,23.09243823,22.68,17.855073239436
4,CENTRAL,EMBU,bathing soap,4U,798.0,0.01574465,0.063614804,53.20323492,0.20722135,11.02484617,22.68,8.524411058644
5,CENTRAL,EMBU,bathing soap,AFRISENSE,50.64,0.027734059,0.096107039,63.6623003,0.275040355,17.50970165,22.68,13.53850131578
6,CENTRAL,EMBU,bathing soap,DETREX,3968.207,0.060301198,0.133244595,66.28906039,0.348291215,23.08789736,22.68,17.851562238752
7,CENTRAL,EMBU,bathing soap,DIVA,28.8,0.018104581,0.048242991,52.46461961,0.226266433,11.87098232,22.68,9.178643529823999
8,CENTRAL,EMBU,bathing soap,SAWA,1376.11,0.010884668,0.009020148,43.84369783,0.397614322,17.43288219,22.68,13.479104509308
9,CENTRAL,EMBU,detergent,USHINDI,0.0,0.0,0.0,64.84676405,,,22.68,
10,CENTRAL,EMBU,dishwashing liquid,USHINDI,122.209,0.003402364,0.001677543,64.84676405,0.035340147,2.291694182,22.68,1.7719379415224001
11,CENTRAL,EMBU,dishwashing paste,USHINDI,153.6,0.004276306,0.002108443,64.84676405,0.069364162,4.498041437,22.68,3.4778856390884
12,CENTRAL,EMBU,fat,DIRIA,1920.0,0.023901687,0.066783189,47.16697108,0.198007472,9.339412705,22.68,7.2212339035060005
13,CENTRAL,EMBU,fat,FRYKING,1932.25,1.0,0.705715851,48.03585969,1.0,48.03585969,22.68,37.141326712308
14,CENTRAL,EMBU,fat,FRYMATE,3108.5,0.087721778,0.081605918,37.92318682,0.22408377,8.497970659,22.68,6.5706309135388
15,CENTRAL,EMBU,fat,MPISHI POA,2446.895,0.107221298,0.109331813,41.53469221,0.186732069,7.755859027,22.68,5.9968301996764
16,CENTRAL,EMBU,glycerine,SAWA,995.0319653,0.007870301,0.006522252,50.01920131,0.81114053,40.57260145,22.68,31.37073544114
17,CENTRAL,EMBU,lotion,BELLEZA,1211.186667,0.360449598,0.15223406,50.01920131,0.684192749,34.22277486,22.68,26.461049521752003
