REGION_NAME,BRAND,SKU,MONTH,AVERAGE_BASE_PRICE,VOLUME
CENTRAL,4U (PWANI OIL PRODUCTS),250G,6,1647.935484,1068
CENTRAL,4U (PWANI OIL PRODUCTS),250G,7,1572.364865,2919
CENTRAL,4U (PWANI OIL PRODUCTS),250G,8,1523.514019,3408
CENTRAL,4U (PWANI OIL PRODUCTS),250G,9,1507.822785,2490.25
CENTRAL,4U (PWANI OIL PRODUCTS),250G,10,1562.37395,1554.75
CENTRAL,4U (PWANI OIL PRODUCTS),250G,11,1579.622093,1104.25
CENTRAL,AFRISENSE,125G,1,3206,12
CENTRAL,AFRISENSE,125G,2,3206,15.24
CENTRAL,AFRISENSE,125G,3,3206,12
CENTRAL,AFRISENSE,125G,6,3206,18
CENTRAL,AFRISENSE,125G,7,2405.333333,13.5
CENTRAL,AFRISENSE,125G,8,1704.75,22.05
CENTRAL,AFRISENSE,125G,9,261.3014354,90.2125
CENTRAL,AFRISENSE,125G,10,224.6344538,91.3075
CENTRAL,AFRISENSE,125G,11,165.9366667,84.365
CENTRAL,AFRISENSE,125G,12,188.4204082,77.7875
CENTRAL,AFRISENSE,225G,1,2493,5.4
CENTRAL,AFRISENSE,225G,2,2493,5.4
CENTRAL,AFRISENSE,225G,3,2493,5.4
CENTRAL,AFRISENSE,225G,4,2493,16.2
CENTRAL,AFRISENSE,225G,6,2493,10.8
CENTRAL,AFRISENSE,225G,7,624,1.35
CENTRAL,AFRISENSE,225G,8,2493,27
CENTRAL,AFRISENSE,225G,9,1248,5.4
CENTRAL,AFRISENSE,225G,10,1248,8.1
CENTRAL,AFRISENSE,225G,11,166.4,5.4
CENTRAL,BELLEZA (PWANI OIL PRODUCTS),100ML,1,273.1656051,696.0339167
CENTRAL,BELLEZA (PWANI OIL PRODUCTS),100ML,2,274.3158593,958.4908958
CENTRAL,BELLEZA (PWANI OIL PRODUCTS),100ML,3,288.5093039,970.543
CENTRAL,BELLEZA (PWANI OIL PRODUCTS),100ML,4,197.445981,529.3961458
CENTRAL,BELLEZA (PWANI OIL PRODUCTS),100ML,5,252,587.5649792
CENTRAL,BELLEZA (PWANI OIL PRODUCTS),100ML,6,281.3743017,466.9443333
