Territory,County,Subcounty,Brand,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,White Space Score,WEIGHT,RTM_norm,AWS
CENTRAL,KIAMBU,GATUNDU NORTH,4U SOAP,18,0.009950249,0.001849426,,0.014851485,0.009950249,
CENTRAL,KIAMBU,GITHUNGURI,4U SOAP,96,0.074626866,0.009863605,,0.079207921,0.074626866,
CENTRAL,KIAMBU,JUJA,4U SOAP,114.5,0.089966833,0.011764404,,0.094471947,0.089966833,
CENTRAL,KIAMBU,KABETE,4U SOAP,126,0.099502488,0.012945981,,0.103960396,0.099502488,
CENTRAL,KIAMBU,KIAMBU,4U SOAP,66,0.049751244,0.006781228,,0.054455446,0.049751244,
CENTRAL,KIAMBU,LARI,4U SOAP,18,0.009950249,0.001849426,,0.014851485,0.009950249,
CENTRAL,KIAMBU,LIMURU,4U SOAP,42,0.029850746,0.004315327,,0.034653465,0.029850746,
CENTRAL,KIAMBU,RUIRU,4U SOAP,336,0.273631841,0.034522617,,0.277227723,0.273631841,
CENTRAL,KIAMBU,THIKA TOWN,4U SOAP,102,0.07960199,0.01048008,,0.084158416,0.07960199,
CENTRAL,KIRINYAGA,GACHOKA,4U SOAP,150,0.119402985,0.015411883,,0.123762376,0.119402985,
CENTRAL,KIRINYAGA,GICHUGU,4U SOAP,552,0.452736318,0.056715728,,0.455445545,0.452736318,
CENTRAL,KIRINYAGA,KIRINYAGA CENTRAL,4U SOAP,6,0,0.000616475,,0.004950495,0,
CENTRAL,KIRINYAGA,MWEA,4U SOAP,1092,0.900497512,0.112198505,,0.900990099,0.900497512,
CENTRAL,KIRINYAGA,NDIA,4U SOAP,726,0.597014925,0.074593512,,0.599009901,0.597014925,
CENTRAL,MURANG'A,KANDARA,4U SOAP,864,0.711442786,0.088772444,,0.712871287,0.711442786,
CENTRAL,MURANG'A,KANGEMA,4U SOAP,594,0.487562189,0.061031055,,0.49009901,0.487562189,
CENTRAL,MURANG'A,KIGUMO,4U SOAP,576.25,0.472844113,0.059207316,,0.475453795,0.472844113,
CENTRAL,MURANG'A,KIHARU,4U SOAP,1212,1,0.124528011,,1,1,
CENTRAL,MURANG'A,MARAGWA,4U SOAP,408,0.333333333,0.041920321,,0.336633663,0.333333333,
